type,features__type,features__geometry__type,x,y,features__geometry__coordinates__003,features__geometry__coordinates__004,features__properties__OBJECTID,features__properties__BLOCKNAME,Rotation1,total,Rotation2
,Feature,Point,471672.732,5363042.238,0,-1.79769313486232E+308,221,VOLEFT,5.65469303,367,323.99
,Feature,Point,471569.5724,5363057.65,0,-1.79769313486232E+308,222,VOLRIGHT,5.639991233,318,323.148
,Feature,Point,471517.8133,5363150.598,0,-1.79769313486232E+308,223,VOLEFT,5.654693029,321,323.99
,Feature,Point,470873.7851,5364368.468,0,-1.79769313486232E+308,224,VOLEFT,1.552463807,384,88.9496
,Feature,Point,470906.9183,5364446.384,0,-1.79769313486232E+308,225,VOLRIGHT,1.57077937,677,89.999
,Feature,Point,475251.7701,5362000.136,0,-1.79769313486232E+308,226,VOLRIGHT,6.272532317,700,359.39
,Feature,Point,473729.4977,5365394.475,0,-1.79769313486232E+308,227,VOLRIGHT,1.73461395,218,99.3861
,Feature,Point,473698.1904,5365301.519,0,-1.79769313486232E+308,228,VOLEFT,1.752122444,184,100.389
,Feature,Point,471467.449,5364300.516,0,-1.79769313486232E+308,229,VOLRIGHT,1.585073511,252,90.818
,Feature,Point,471425.9814,5364205.782,0,-1.79769313486232E+308,230,VOLEFT,1.575937359,187,90.2946
,Feature,Point,475866.441,5363354.118,0,-1.79769313486232E+308,231,VOLRIGHT,1.106467171,57,63.3959
,Feature,Point,475783.3712,5363278.671,0,-1.79769313486232E+308,232,VOLEFT,1.134730957,57,65.0153
,Feature,Point,475452.1038,5362258.856,0,-1.79769313486232E+308,233,VOLRIGHT,6.272532315,260,359.39
,Feature,Point,470858.0249,5364545.053,0,-1.79769313486232E+308,234,VOLEFT,1.552463806,847,88.9496
,Feature,Point,470897.2034,5364613.57,0,-1.79769313486232E+308,235,VOLRIGHT,1.570779369,984,89.999
,Feature,Point,475538.7463,5363483.394,0,-1.79769313486232E+308,236,VOLRIGHT,6.250709403,83,358.139
,Feature,Point,475451.6637,5363558.646,0,-1.79769313486232E+308,237,VOLEFT,6.262724357,119,358.828
,Feature,Point,472462.5091,5365176.557,0,-1.79769313486232E+308,238,VOLEFT,0.276809961,796,15.86
,Feature,Point,472565.1569,5365160.131,0,-1.79769313486232E+308,239,VOLRIGHT,0.285038106,476,16.3315
,Feature,Point,475732.9335,5364049.769,0,-1.79769313486232E+308,240,VOLEFT,1.57077939,111,89.999
,Feature,Point,470823.8832,5364380.088,0,-1.79769313486232E+308,241,VOLEFT,1.552463807,301,88.9496
,Feature,Point,470857.0164,5364458.004,0,-1.79769313486232E+308,242,VOLRIGHT,1.57077937,589,89.999
,Feature,Point,471060.7351,5364285.746,0,-1.79769313486232E+308,243,VOLEFT,1.642039457,332,94.0819
,Feature,Point,471096.4392,5364354.158,0,-1.79769313486232E+308,244,VOLRIGHT,1.570779371,280,89.999
,Feature,Point,474479.6835,5361888.109,0,-1.79769313486232E+308,245,VOLEFT,3.869402744,145,221.7
,Feature,Point,474376.3923,5361855.621,0,-1.79769313486232E+308,246,VOLRIGHT,3.875042004,176,222.024
,Feature,Point,471015.1933,5365344.755,0,-1.79769313486232E+308,247,VOLEFT,4.335389594,108,248.4
,Feature,Point,470935.5369,5365257.339,0,-1.79769313486232E+308,248,VOLRIGHT,4.432725113,113,253.976
,Feature,Point,471968.6783,5362191.75,0,-1.79769313486232E+308,249,VOLRIGHT,5.663096735,3175,324.472
,Feature,Point,471920.8602,5362292.707,0,-1.79769313486232E+308,250,VOLEFT,5.664803079,3359,324.569
,Feature,Point,472122.302,5362449.332,0,-1.79769313486232E+308,251,VOLEFT,5.664842731,511,324.572
,Feature,Point,472180.9741,5362360.944,0,-1.79769313486232E+308,252,VOLRIGHT,5.657043562,819,324.125
,Feature,Point,472466.0051,5362823.178,0,-1.79769313486232E+308,253,VOLRIGHT,1.24124663,2108,71.1182
,Feature,Point,472377.3423,5362734.395,0,-1.79769313486232E+308,254,VOLEFT,1.209199324,1953,69.282
,Feature,Point,472205.407,5362877.47,0,-1.79769313486232E+308,255,VOLEFT,5.75203429,590,329.567
